feature,importance_value,importance_type,model,rank
log_funding_total_usd,0.48732328223474136,model_builtin,GradientBoostingClassifier,1.0
company_age_years,0.11707891716254347,model_builtin,GradientBoostingClassifier,2.0
category_code_unknown,0.07538506855706296,model_builtin,GradientBoostingClassifier,3.0
funding_rounds_num,0.043902134249332044,model_builtin,GradientBoostingClassifier,4.0
years_to_first_funding,0.0397202286288258,model_builtin,GradientBoostingClassifier,5.0
country_code_unknown,0.037111886432686106,model_builtin,GradientBoostingClassifier,6.0
region_unknown,0.03564068969589535,model_builtin,GradientBoostingClassifier,7.0
country_code_USA,0.03491340963893252,model_builtin,GradientBoostingClassifier,8.0
funding_duration_years,0.02052188507522119,model_builtin,GradientBoostingClassifier,9.0
country_code_RUS,0.016432760190182933,model_builtin,GradientBoostingClassifier,10.0
city_unknown,0.012103861022985055,model_builtin,GradientBoostingClassifier,11.0
category_code_Analytics,0.007219032980983398,model_builtin,GradientBoostingClassifier,12.0
category_code_Clean Technology,0.005645054712940619,model_builtin,GradientBoostingClassifier,13.0
city_infrequent_sklearn,0.003919812060857401,model_builtin,GradientBoostingClassifier,14.0
region_infrequent_sklearn,0.003703964252040771,model_builtin,GradientBoostingClassifier,15.0
region_SF Bay Area,0.0035348127067777197,model_builtin,GradientBoostingClassifier,16.0
category_code_Enterprise Software,0.002751672041803472,model_builtin,GradientBoostingClassifier,17.0
category_code_Manufacturing,0.0023470557896307334,model_builtin,GradientBoostingClassifier,18.0
city_Mountain View,0.002052033895216144,model_builtin,GradientBoostingClassifier,19.0
city_Los Angeles,0.0019457191528169124,model_builtin,GradientBoostingClassifier,20.0
category_code_Android,0.0018758469804049378,model_builtin,GradientBoostingClassifier,21.0
category_code_Digital Media,0.0017302335392131638,model_builtin,GradientBoostingClassifier,22.0
state_code_infrequent_sklearn,0.0016730206654033202,model_builtin,GradientBoostingClassifier,23.0
category_code_Hospitality,0.0016249548078385966,model_builtin,GradientBoostingClassifier,24.0
category_code_Services,0.0012938641041669995,model_builtin,GradientBoostingClassifier,25.0
region_Boston,0.0012797040639173018,model_builtin,GradientBoostingClassifier,26.0
category_code_Transportation,0.0011538544193660013,model_builtin,GradientBoostingClassifier,27.0
state_code_ON,0.0011456319048990455,model_builtin,GradientBoostingClassifier,28.0
category_code_Advertising,0.0010728685836295967,model_builtin,GradientBoostingClassifier,29.0
region_Chicago,0.0009941410848840686,model_builtin,GradientBoostingClassifier,30.0
country_code_BRA,0.0009789949825707253,model_builtin,GradientBoostingClassifier,31.0
state_code_15,0.0009370234807111173,model_builtin,GradientBoostingClassifier,32.0
category_code_Health Care,0.0008309294529822388,model_builtin,GradientBoostingClassifier,33.0
region_New York City,0.0007859095130708347,model_builtin,GradientBoostingClassifier,34.0
category_code_News,0.0007530963190516153,model_builtin,GradientBoostingClassifier,35.0
city_Quebec,0.000735871353573467,model_builtin,GradientBoostingClassifier,36.0
state_code_unknown,0.0007299023969540597,model_builtin,GradientBoostingClassifier,37.0
region_Napa Valley,0.0006979003467670152,model_builtin,GradientBoostingClassifier,38.0
city_Austin,0.0006562054468924974,model_builtin,GradientBoostingClassifier,39.0
category_code_Pharmaceuticals,0.0006468878480766764,model_builtin,GradientBoostingClassifier,40.0
category_code_Web Hosting,0.0006289297443193799,model_builtin,GradientBoostingClassifier,41.0
state_code_VT,0.0005979791903938551,model_builtin,GradientBoostingClassifier,42.0
city_Calgary,0.0005667726919568795,model_builtin,GradientBoostingClassifier,43.0
state_code_AB,0.0005436319167900879,model_builtin,GradientBoostingClassifier,44.0
region_Quebec City,0.0005339254411425848,model_builtin,GradientBoostingClassifier,45.0
region_CHE - Other,0.0004916801229152306,model_builtin,GradientBoostingClassifier,46.0
category_code_Software,0.0004916693115554122,model_builtin,GradientBoostingClassifier,47.0
region_Vancouver,0.0004897164488575739,model_builtin,GradientBoostingClassifier,48.0
state_code_G5,0.0004806138940274622,model_builtin,GradientBoostingClassifier,49.0
state_code_16,0.00045806953347300787,model_builtin,GradientBoostingClassifier,50.0
city_San Francisco,0.00045157644128494405,model_builtin,GradientBoostingClassifier,51.0
category_code_Internet Marketing,0.0004482854489921298,model_builtin,GradientBoostingClassifier,52.0
category_code_Advertising Platforms,0.00044797600813849085,model_builtin,GradientBoostingClassifier,53.0
"region_Orange County, California",0.00042219276733539753,model_builtin,GradientBoostingClassifier,54.0
